name,alias,desc,degree,parent,category_id,_id
"《真爱与梦想》","fengyunzizhuan","中国第一本企业家自传",1,"",1,ObjectID(54f5847074616f163c0a0000)
"《润土朋友圈》","gushihui","我身边的富豪朋友们",1,"",2.0,ObjectID(54f584a474616f163c0b0000)
"《风云商学院》","shangxueyuan","中国大陆500个本土商业案例",1,"",3.0,ObjectID(54f584ba74616f163c0c0000)
"《天涯论政台》","lunzhengtai","创业家园第一品牌贴",1,"",4.0,ObjectID(54f584da74616f163c0d0000)
"《稚一大学堂》","daxuetang","中华文明与文化思想论",1,"",5.0,ObjectID(54f584fa74616f163c0e0000)
"《风云创业家》","chuangyejia","土迷出风云记",1,"",6.0,ObjectID(54f5851d74616f163c0f0000)
"《序言》","xuyan","",2,1.0,11,ObjectID(54f59f9974616f1aba000000)
"《童年与初中》","tongnian","润土童年，皖南县城；小军童年，随父在玉门油田",2,1.0,12,ObjectID(54f5a01b74616f1aba010000)
"《离开学校，初入社会》","churushehui","（1982-1996）",2,1.0,13,ObjectID(54f5a15e74616f1aba020000)
"《二十年商海深游》","shanghaifuchen","（1986-2005）",2,1.0,14,ObjectID(54f5a19a74616f1aba030000)
"《尾声——天高云淡》","tiangaoyundan","",2,1.0,15,ObjectID(54f5a1dd74616f1aba040000)
"《风云网络创业》","wangluochuangye","（2006初-至今）",2,1.0,16,ObjectID(54f5ab2974616f1aba050000)
"《后记》","houji","",2,1.0,17,ObjectID(54f5ab6374616f1aba060000)
"《友人篇》","yourenpian","",2,2.0,21,ObjectID(54f5abec74616f1aba070000)
"《故事篇》","gushipian","",2,2.0,22,ObjectID(54f5ac0874616f1aba080000)
"《茶馆篇》","chaguanpian","小军侃大山",2,2.0,23,ObjectID(54f5ac3674616f1aba090000)
"《企业家论》","qiyejialun","",2,3.0,31,ObjectID(54f5ac7f74616f1aba0a0000)
"《地域与商人论》","diyuyushangrenlun","",2,3.0,32,ObjectID(54f5aca074616f1aba0b0000)
"《商业思维论》","shangyesiweilun","",2,3.0,33,ObjectID(54f5acc374616f1aba0c0000)
"《入世导论》","rushidaolun","",2,3.0,34,ObjectID(54f5ace374616f1aba0d0000)
"《行业概论》","hangyegailun","",2,3.0,35,ObjectID(54f5acff74616f1aba0e0000)
"《择业小议》","zeyexiaoyi","",2,3.0,36,ObjectID(54f5ad1e74616f1aba0f0000)
"《政治篇》","zhenegzhipian","",2,4.0,41,ObjectID(54f5ad8674616f1aba100000)
"《社本论》","shebenlun","",2,4.0,42,ObjectID(54f5adae74616f1aba110000)
"《经本论》","jingbenlun","经济篇",2,4.0,45,ObjectID(54f5ae6674616f1aba120000)
"《社评篇》","shepingpian","",2,4.0,43,ObjectID(54f5af6474616f1aba130000)
"《社会与人性篇》","shehuiyurenxingpian","",2,4.0,44,ObjectID(54f5af8374616f1aba140000)
"《年度评议篇》","niandupingyipian","",2,4.0,46,ObjectID(54f5afb574616f1aba150000)
"《文明篇》","wenmingpian","",2,5.0,51,ObjectID(54f5b0e174616f1aba160000)
"《世界篇》","shijiepian","",2,5.0,52,ObjectID(54f5b0f874616f1aba170000)
"《教育篇》","jiaoyupian","",2,5.0,53,ObjectID(54f5b10e74616f1aba180000)
"文章","post",,0.0,"",7.0,ObjectID(54f6ce15e2e44a031063422f)
"话题","topic",,0.0,"",8.0,ObjectID(54f6cf25e2e44a0310634230)
"互动","hudong",,1,"",9,ObjectID(54f6cf2de2e44a0310634231)
